[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.001000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=103 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.001000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-08T14:16:19+08:00 ] /hz/index.php?a=index&m=goods&pcode=&addtime_start=&addtime_end=&time_start=&time_end=&cate_id=0&status=1&canyuhd=-1&is_hots=-1&goodtype=-1&keyword=&gys_bianma=&cangku_bianhao=&gys_name=&cangku_name=&search=%E6%90%9C%E7%B4%A2&__hash__=b3d2c66b6cf73ba34a6244d482bfce1d_c1671d111f00f8085df4dd4367b28b4b&p=3 | SQL: SELECT `name` FROM `sk_items_cate` WHERE id=101 LIMIT 1   [ RunTime:0.000000s ]
