[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.030001s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.046002s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.014001s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.033002s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.002000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.002000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.018001s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 80 行.
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 39 行.
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.015000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 43 行.
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id= LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.024002s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.010000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.002001s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.003000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.049003s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049003s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=verify&m=verify&rand=1473384441 | INFO: Tag[ app_begin ] --START--
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=verify&m=verify&rand=1473384441 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=verify&m=verify&rand=1473384441 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2016-09-09T09:27:21+08:00 ] /hz/index.php?a=verify&m=verify&rand=1473384441 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-09-09T09:27:27+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --START--
[ 2016-09-09T09:27:27+08:00 ] /hz/index.php?a=index&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-09T09:27:27+08:00 ] /hz/index.php?a=index&m=index | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2016-09-09T09:27:27+08:00 ] /hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-09-09T09:27:27+08:00 ] /hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.003000s ]
